,bird_id,bird,trait_id,trait
0,0,Acadian Flycatcher,0,Eye color black.
1,0,Acadian Flycatcher,1,Bill length shorter than head.
2,0,Acadian Flycatcher,2,Bill shape all-purpose.
3,0,Acadian Flycatcher,3,Shape perching-like.
4,0,Acadian Flycatcher,4,Back pattern solid.
5,0,Acadian Flycatcher,5,Size small (5 - 9 in).
6,0,Acadian Flycatcher,6,Underparts color white.
7,0,Acadian Flycatcher,7,Upperparts color grey.
8,0,Acadian Flycatcher,8,Belly pattern solid.
9,0,Acadian Flycatcher,9,Belly color white.
10,0,Acadian Flycatcher,10,Wing color grey.
11,0,Acadian Flycatcher,11,Head pattern eyering.
12,0,Acadian Flycatcher,12,Throat color white.
13,0,Acadian Flycatcher,13,Breast pattern solid.
14,0,Acadian Flycatcher,14,Wing pattern striped.
15,0,Acadian Flycatcher,15,Leg color black.
16,0,Acadian Flycatcher,16,Crown color grey.
17,0,Acadian Flycatcher,17,Tail pattern solid.
18,0,Acadian Flycatcher,18,Primary color olive.
19,0,Acadian Flycatcher,19,Bill color grey.
20,0,Acadian Flycatcher,20,Breast color white.
21,0,Acadian Flycatcher,21,Forehead color grey.
22,0,Acadian Flycatcher,22,Nape color olive.
23,0,Acadian Flycatcher,23,Under tail color grey.
24,0,Acadian Flycatcher,24,Tail shape notched tail.
25,0,Acadian Flycatcher,25,Back color grey.
26,0,Acadian Flycatcher,26,Upper tail color olive.
27,0,Acadian Flycatcher,27,Wing shape rounded-wings.
28,1,American Crow,0,Wing color black.
29,1,American Crow,1,Breast pattern solid.
30,1,American Crow,2,Throat color black.
31,1,American Crow,3,Forehead color black.
32,1,American Crow,4,Primary color black.
33,1,American Crow,5,Wing pattern solid.
34,1,American Crow,6,Underparts color black.
35,1,American Crow,7,Breast color black.
36,1,American Crow,8,Tail pattern solid.
37,1,American Crow,9,Crown color black.
38,1,American Crow,10,Upperparts color black.
39,1,American Crow,11,Nape color black.
40,1,American Crow,12,Belly color black.
41,1,American Crow,13,Back pattern solid.
42,1,American Crow,14,Back color black.
43,1,American Crow,15,Belly pattern solid.
44,1,American Crow,16,Head pattern plain.
45,1,American Crow,17,Eye color black.
46,1,American Crow,18,Bill color black.
47,1,American Crow,19,Under tail color black.
48,1,American Crow,20,Upper tail color black.
49,1,American Crow,21,Leg color black.
50,1,American Crow,22,Bill length about the same as head.
51,1,American Crow,23,Shape perching-like.
52,1,American Crow,24,Bill shape dagger.
53,1,American Crow,25,Size small (5 - 9 in).
54,1,American Crow,26,Tail shape squared tail.
55,1,American Crow,27,Wing shape rounded-wings.
56,2,American Goldfinch,0,Eye color black.
57,2,American Goldfinch,1,Throat color yellow.
58,2,American Goldfinch,2,Belly color yellow.
59,2,American Goldfinch,3,Nape color yellow.
60,2,American Goldfinch,4,Underparts color yellow.
61,2,American Goldfinch,5,Bill length shorter than head.
62,2,American Goldfinch,6,Forehead color black.
63,2,American Goldfinch,7,Bill shape cone.
64,2,American Goldfinch,8,Breast pattern solid.
65,2,American Goldfinch,9,Primary color yellow.
66,2,American Goldfinch,10,Breast color yellow.
67,2,American Goldfinch,11,Belly pattern solid.
68,2,American Goldfinch,12,Back color yellow.
69,2,American Goldfinch,13,Crown color black.
70,2,American Goldfinch,14,Upperparts color yellow.
71,2,American Goldfinch,15,Wing color black.
72,2,American Goldfinch,16,Shape perching-like.
73,2,American Goldfinch,17,Under tail color black.
74,2,American Goldfinch,18,Size small (5 - 9 in).
75,2,American Goldfinch,19,Bill color orange.
