,bird_id,bird,trait_id,trait
0,0,Acadian Flycatcher,0,Band is across. Across has breast.
1,0,Acadian Flycatcher,1,Wash is yellow. Yellow is pale.
2,0,Acadian Flycatcher,2,Song has chup.
3,0,Acadian Flycatcher,3,Wing bar is buffi.
4,0,Acadian Flycatcher,4,Covert has lemon.
5,0,Acadian Flycatcher,5,Wash on belly is yellowish.
6,0,Acadian Flycatcher,6,Bill is heavy.
7,0,Acadian Flycatcher,7,Covert is great.
8,0,Acadian Flycatcher,8,Breast has olive. Olive is pale.
9,0,Acadian Flycatcher,9,Tarsus has mm. Mm is at. At has hatching.
10,0,Acadian Flycatcher,10,Wing has mm. Mm is ±.
11,0,Acadian Flycatcher,11,Wash is across. Across has breast.
12,0,Acadian Flycatcher,12,Covert has tip. Tip is buff.
13,0,Acadian Flycatcher,13,Throat is white. White is grayish.
14,0,Acadian Flycatcher,14,Song is territorial.
15,0,Acadian Flycatcher,15,Wing feather is blackish.
16,0,Acadian Flycatcher,16,Juvenile plumage is similar. Similar is to.
17,0,Acadian Flycatcher,17,Wing bar is white.
18,0,Acadian Flycatcher,18,Underpart is entire.
19,0,Acadian Flycatcher,19,Molt limit is evident.
20,0,Acadian Flycatcher,20,Band is olive.
21,0,Acadian Flycatcher,21,Underpart is average.
22,0,Acadian Flycatcher,22,Wing covert is uniform.
23,0,Acadian Flycatcher,23,Definitive basic plumage is be.
24,0,Acadian Flycatcher,24,Feather is many.
25,0,Acadian Flycatcher,25,Down is white.
26,0,Acadian Flycatcher,26,Wing has mm.
27,0,Acadian Flycatcher,27,Song has chup. Chup is distinctive.
28,0,Acadian Flycatcher,28,Flight is direct.
29,0,Acadian Flycatcher,29,Eye-ring is indistinct.
30,0,Acadian Flycatcher,30,Band is subtle.
31,0,Acadian Flycatcher,31,Breast has band. Band is green. Green is grayish.
32,0,Acadian Flycatcher,32,Song is be.
33,0,Acadian Flycatcher,33,Four is great.
34,0,Acadian Flycatcher,34,Bill is large.
35,0,Acadian Flycatcher,35,Band is green. Green is grayish.
36,0,Acadian Flycatcher,36,Juvenile body feather is due. Due is to.
37,0,Acadian Flycatcher,37,Bill is long.
38,0,Acadian Flycatcher,38,Wing-bar is 2.
39,0,Acadian Flycatcher,39,Molt limit is between. Between has feather. Feather is worn.
40,0,Acadian Flycatcher,40,Inner great covert is 1–2.
41,0,Acadian Flycatcher,41,Plumage is be.
42,0,Acadian Flycatcher,42,Underpart has yellow.
43,0,Acadian Flycatcher,43,Bill has mandible. Mandible is pale.
44,0,Acadian Flycatcher,44,Wing has mm. Mm has chord. Chord is for.
45,0,Acadian Flycatcher,45,Dawn song is complex.
46,0,Acadian Flycatcher,46,Wing has mm. Mm is 69.5.
47,0,Acadian Flycatcher,47,Breast has band. Band is conspicuous.
48,0,Acadian Flycatcher,48,Covert has lemon. Lemon is bright.
49,0,Acadian Flycatcher,49,Covert is at. At has bend.
50,0,Acadian Flycatcher,50,Underpart is white. White is pale.
51,0,Acadian Flycatcher,51,Underpart has yellow. Yellow is clear.
52,0,Acadian Flycatcher,52,Feather is due. Due is to.
53,0,Acadian Flycatcher,53,Mandible is heavy.
54,0,Acadian Flycatcher,54,Primary covert has edging.
55,0,Acadian Flycatcher,55,Covert has color. Color is same.
56,0,Acadian Flycatcher,56,Throat is white.
57,0,Acadian Flycatcher,57,Covert is old.
58,0,Acadian Flycatcher,58,Wing is dark. Dark has bar.
59,0,Acadian Flycatcher,59,Breast-band is faint.
60,0,Acadian Flycatcher,60,Throat has yellow. Yellow is pale.
61,0,Acadian Flycatcher,61,Covert is marginal.
62,0,Acadian Flycatcher,62,Skin is over. Over has eye.
63,0,Acadian Flycatcher,63,Feather edging is buffy.
64,0,Acadian Flycatcher,64,Tarsus has mm. Mm is 4–5.
65,0,Acadian Flycatcher,65,Tract is occipital.
66,0,Acadian Flycatcher,66,Breast-band is olive.
67,0,Acadian Flycatcher,67,Wing has mm. Mm is 73.6.
68,0,Acadian Flycatcher,68,Eye-ring is may.
69,0,Acadian Flycatcher,69,Alternate middle tertial and inner four great covert has edging. Edging is white.
70,0,Acadian Flycatcher,70,Wing-bar is pale.
71,0,Acadian Flycatcher,71,Throat is white. White is pale.
72,0,Acadian Flycatcher,72,Covert has tip.
73,0,Acadian Flycatcher,73,Tail is long.
74,0,Acadian Flycatcher,74,Breast has olive. Olive is grayish.
75,0,Acadian Flycatcher,75,Band is conspicuous.
76,0,Acadian Flycatcher,76,Inner great covert is fresh.
77,0,Acadian Flycatcher,77,Breast is white.
78,0,Acadian Flycatcher,78,Breast has olive.
79,0,Acadian Flycatcher,79,Plumage is late.
80,0,Acadian Flycatcher,80,Rectrix is fresh.
81,0,Acadian Flycatcher,81,Chord is for.
82,0,Acadian Flycatcher,82,Wing is short.
83,0,Acadian Flycatcher,83,Covert is upperwing.
84,0,Acadian Flycatcher,84,Wing chord for male 73.6 mm is ±.
85,0,Acadian Flycatcher,85,Wing bar is buff.
86,0,Acadian Flycatcher,86,Juvenile body feather is filamentous.
87,0,Acadian Flycatcher,87,Wash on underpart is yellow.
88,0,Acadian Flycatcher,88,Skin is other.
89,0,Acadian Flycatcher,89,Song is distinctive.
90,0,Acadian Flycatcher,90,Covert is can.
91,0,Acadian Flycatcher,91,Wing chord is 514.
92,0,Acadian Flycatcher,92,Underpart has yellow. Yellow is uniform.
93,0,Acadian Flycatcher,93,Throat is yellowish.
94,0,Acadian Flycatcher,94,Juvenile body feather is due. Due has density.
95,0,Acadian Flycatcher,95,Plumage is formative.
96,0,Acadian Flycatcher,96,Wing has mm. Mm has sd. Sd is 2.9.
97,0,Acadian Flycatcher,97,Belly is yellow.
98,0,Acadian Flycatcher,98,Eye-ring is whitish.
99,0,Acadian Flycatcher,99,Wing has mm. Mm is ±. ± has sd. Sd is 3.2.
100,0,Acadian Flycatcher,100,Throat is dull.
101,0,Acadian Flycatcher,101,Flutter call is distinctive.
102,0,Acadian Flycatcher,102,Breast is low.
103,0,Acadian Flycatcher,103,Wing covert has bar. Bar is yellowish.
104,0,Acadian Flycatcher,104,Alternate plumage is first.
105,0,Acadian Flycatcher,105,Lower mandible is yellow. Yellow is pinkish.
106,0,Acadian Flycatcher,106,Eye-ring is narrow.
107,0,Acadian Flycatcher,107,Breast has olive. Olive is indistinct.
108,0,Acadian Flycatcher,108,Wing-bar is buffy.
109,0,Acadian Flycatcher,109,Inner great covert is 1–7.
110,0,Acadian Flycatcher,110,Feather has tip. Tip has buff.
111,0,Acadian Flycatcher,111,Eye ring is white.
112,0,Acadian Flycatcher,112,Feather has tip. Tip is buff.
113,0,Acadian Flycatcher,113,Underpart is white. White is grayish.
114,0,Acadian Flycatcher,114,Band is pectoral.
115,0,Acadian Flycatcher,115,Body feather has edge. Edge is buff.
116,0,Acadian Flycatcher,116,Definitive basic plumage is fresh.
117,0,Acadian Flycatcher,117,Primary covert is dull.
118,0,Acadian Flycatcher,118,Underpart is white. White has band. Band is olive.
119,0,Acadian Flycatcher,119,Plumage is basic.
120,0,Acadian Flycatcher,120,Underpart is worn.
